label,user_percent,year,month
AW,0.00207024615384615,2021,3
fR,0.000687347692307692,2021,3
fL,0.000211990769230769,2021,3
L,0.00642114153846154,2021,4
C,0.00451149846153846,2021,4
R,0.00221861538461538,2021,4
AW,0.00159978153846154,2021,4
fR,0.000718913846153846,2021,4
fL,0.000212458461538462,2021,4
L,0.00610751384615385,2021,5
C,0.00514661846153846,2021,5
R,0.00328884923076923,2021,5
AW,0.00183926769230769,2021,5
fR,0.000515664615384615,2021,5
fL,0.000240904615384615,2021,5
L,0.00544491692307692,2021,6
C,0.00352610769230769,2021,6
R,0.00255886461538462,2021,6
AW,0.00180113230769231,2021,6
fR,0.000672526153846154,2021,6
fL,0.000218381538461538,2021,6
L,0.00665967076923077,2021,7
C,0.00512790769230769,2021,7
R,0.00276984307692308,2021,7
AW,0.00226769538461538,2021,7
fR,0.00101278769230769,2021,7
fL,0.000247901538461538,2021,7
L,0.00755841230769231,2021,8
C,0.00506872,2021,8
R,0.00309692307692308,2021,8
AW,0.00255657846153846,2021,8
fR,0.00093104,2021,8
fL,0.000205821538461538,2021,8
L,0.00791373846153846,2021,9
C,0.00593829230769231,2021,9
R,0.00392177230769231,2021,9
AW,0.00240124,2021,9
fR,0.00124223384615385,2021,9
fL,0.000289329230769231,2021,9
L,0.00717171384615385,2021,10
C,0.00583499384615385,2021,10
R,0.00309896,2021,10
AW,0.00256869538461538,2021,10
fR,0.000849923076923077,2021,10
fL,0.000215812307692308,2021,10
L,0.00740109538461538,2021,11
C,0.00569520307692308,2021,11
AW,0.00279657230769231,2021,11
R,0.00276995076923077,2021,11
fR,0.00104168923076923,2021,11
fL,0.000191809230769231,2021,11
L,0.00653547692307692,2021,12
C,0.00471126769230769,2021,12
R,0.00280500307692308,2021,12
AW,0.00204894769230769,2021,12
fR,0.000819467692307692,2021,12
fL,0.000391470769230769,2021,12
L,0.00745763076923077,2022,1
C,0.00577754461538462,2022,1
R,0.00248044,2022,1
AW,0.00244265846153846,2022,1
fR,0.00091388,2022,1
fL,0.000411784615384615,2022,1
L,0.00797156307692308,2022,2
C,0.00707292923076923,2022,2
R,0.00305915692307692,2022,2
AW,0.00211404,2022,2
fR,0.000683529230769231,2022,2
fL,0.000399175384615385,2022,2
